time_materials,time_tasks,time_forums,time_quizzes,labels
0.0,0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
49555.0,7610.0,5.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Aktif', 'Visual']"
6631.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,0.0,"['Aktif', 'Verbal']"
