,precision,recall,f1-score,support
Aktif,0.5,0.2,0.2857142857142857,10.0
Reflektif,0.7575757575757576,0.9259259259259259,0.8333333333333334,27.0
Verbal,0.8484848484848485,0.9032258064516129,0.875,31.0
Visual,0.25,0.16666666666666666,0.2,6.0
micro avg,0.7567567567567568,0.7567567567567568,0.7567567567567568,74.0
macro avg,0.5890151515151515,0.5489545997610513,0.5485119047619048,74.0
weighted avg,0.7196969696969697,0.7567567567567568,0.725434362934363,74.0
samples avg,0.7567567567567568,0.7567567567567568,0.7567567567567568,74.0
